Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Westman,RobertS","CAT1-Culture,Art&TechnologyI(D)",FA15,166,137,67.2%,79.1%,5.07,B(3.28),B(3.14)
"Propp,WilliamHenry","CAT1-Culture,Art&TechnologyI(E)",FA15,166,108,31.3%,56.3%,6.63,B-(2.91),B(3.07)
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(A),FA15,115,97,88.4%,97.9%,4.98,B+(3.57),B+(3.46)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),FA15,177,89,75.3%,92.2%,4.00,B+(3.65),B+(3.44)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),FA15,89,50,100.0%,100.0%,4.54,A-(3.80),B+(3.59)
"Solomon,AmandaLeeAlbaniel",CAT124-SixthCollegePracticum(A),S115,14,13,100.0%,100.0%,7.42,A-(3.75),N/A
"Losh,Elizabeth",CAT125R-PblcRhetoricPrctCommOnline(B),S115,149,38,80.0%,88.6%,6.44,B+(3.64),B+(3.47)
"Hill,LindaL.",CAT124-SixthCollegePracticum(A),SP15,17,5,100.0%,100.0%,1.70,A(4.00),N/A
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(A),SP15,87,79,88.3%,98.7%,4.50,B+(3.60),B+(3.54)
"Solomon,AmandaLeeAlbaniel",CAT125-PublicRhetoric&PractCommun(B),SP15,95,82,85.2%,90.1%,4.18,B+(3.60),B+(3.55)
"Losh,Elizabeth",CAT125R-PblcRhetoricPrctCommOnline(A),SP15,118,48,84.1%,90.9%,3.91,A-(3.71),B+(3.62)
"Burgasser,AdamJonathan","CAT3-Culture,Art&TechnologyIII(A)",SP15,168,109,85.1%,95.7%,4.63,B+(3.61),B+(3.68)
"Bratton,BenjaminH.","CAT3-Culture,Art&TechnologyIII(B)",SP15,187,147,55.8%,42.2%,3.01,B+(3.41),B+(3.52)
"Hankins,JosephD.","CAT3-Culture,Art&TechnologyIII(C)",SP15,173,118,86.0%,95.3%,3.78,B+(3.44),B+(3.37)
"Streeby,Shelley","CAT3-Culture,Art&TechnologyIII(D)",SP15,145,132,56.8%,60.6%,4.69,B+(3.31),B+(3.35)
"Yang,K.Wayne","CAT3-Culture,Art&TechnologyIII(E)",SP15,237,195,94.7%,96.8%,4.95,B+(3.45),A-(3.79)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),WI15,148,64,80.6%,98.4%,5.35,B+(3.55),B+(3.31)
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(B),WI15,132,121,87.2%,94.0%,5.07,B+(3.54),B+(3.46)
"Sartor,Alexandra",CAT125R-PblcRhetoricPrctCommOnline(A),WI15,148,45,77.3%,79.5%,3.50,A-(3.73),B+(3.53)
"Glaser,Amelia","CAT2-Culture,Art&TechnologyII(A)",WI15,237,129,86.1%,92.6%,4.03,B+(3.52),B+(3.54)
"Trigilio,Michael","CAT2-Culture,Art&TechnologyII(B)",WI15,333,285,86.0%,90.3%,4.62,B+(3.42),B+(3.48)
"Thorpe,CharlesRobert","CAT2-Culture,Art&TechnologyII(C)",WI15,168,111,79.6%,85.2%,5.76,B(3.17),B(3.04)
"Doppelt,GeraldD.","CAT2-Culture,Art&TechnologyII(D)",WI15,162,87,82.4%,91.8%,6.79,B(3.13),B-(2.90)
"Algaze,Guillermo","CAT1-Culture,Art&TechnologyI(A)",FA14,181,113,53.8%,64.5%,4.80,B(3.18),B(3.15)
"Borgo,DavidGarcia","CAT1-Culture,Art&TechnologyI(B)",FA14,134,93,81.4%,89.5%,5.21,B(3.20),B-(2.98)
"Losh,Elizabeth","CAT1-Culture,Art&TechnologyI(C)",FA14,202,137,70.9%,83.8%,5.43,B(3.12),B(3.12)
"Gates,Kelly","CAT1-Culture,Art&TechnologyI(D)",FA14,201,135,74.6%,85.6%,4.36,B+(3.35),B(3.28)
"Westman,RobertS","CAT1-Culture,Art&TechnologyI(E)",FA14,165,91,54.4%,82.4%,5.94,B(3.12),B(3.10)
"Stalbaum,Brett",CAT124-SixthCollegePracticum(A),FA14,5,4,100.0%,100.0%,5.17,A(4.00),N/A
"Forbes,DianeA",CAT125-PublicRhetoric&PractCommun(A),FA14,122,47,88.4%,95.3%,3.52,A-(3.73),A-(3.73)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),FA14,138,51,72.3%,89.4%,4.20,B+(3.50),B+(3.38)
"Kim,Eunsong",CAT124-SixthCollegePracticum(A),S214,9,3,100.0%,100.0%,9.17,B+(3.67),N/A
"Smith,AshleyElizabeth",CAT124-SixthCollegePracticum(A),S114,10,7,85.7%,100.0%,18.50,A(4.00),N/A
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),S114,112,36,88.6%,91.4%,6.16,B+(3.52),B+(3.48)
"Smith,AshleyElizabeth",CAT124-SixthCollegePracticum(A),SP14,19,7,71.4%,57.1%,10.50,B+(3.43),N/A
"Knight,TaraLandreth",CAT124-SixthCollegePracticum(B),SP14,8,7,100.0%,100.0%,11.07,A-(3.83),N/A
"Yang,K.Wayne",CAT124-SixthCollegePracticum(C),SP14,25,7,100.0%,100.0%,6.10,B+(3.50),A-(3.92)
"Yang,K.Wayne",CAT124-SixthCollegePracticum(D),SP14,24,8,100.0%,100.0%,5.64,A(4.00),A-(3.92)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),SP14,82,28,65.4%,96.2%,4.98,B+(3.61),B+(3.52)
"Forbes,DianeA",CAT125-PublicRhetoric&PractCommun(B),SP14,111,60,86.2%,87.9%,4.22,B+(3.53),B+(3.42)
"McCleary,KeithLong",CAT125-PublicRhetoric&PractCommun(C),SP14,26,9,100.0%,100.0%,5.50,B+(3.63),B+(3.61)
"Araki-Kawaguchi,HirokiMichael",CAT125-PublicRhetoric&PractCommun(D),SP14,23,10,100.0%,100.0%,6.28,A-(3.89),A-(3.77)
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(E),SP14,80,69,91.2%,95.6%,5.29,B+(3.42),B+(3.34)
"Patterson,PatrickH.","CAT3-Culture,Art&TechnologyIII(A)",SP14,214,110,74.3%,87.6%,3.79,B(3.28),B+(3.33)
"Fowler,James","CAT3-Culture,Art&TechnologyIII(B)",SP14,296,101,75.5%,87.8%,3.18,B+(3.39),B+(3.38)
"Oates,CharlesBruce","CAT3-Culture,Art&TechnologyIII(C)",SP14,302,142,83.2%,89.1%,2.65,B+(3.56),B+(3.46)
"Murray,KateElizabeth",CAT124-SixthCollegePracticum(B),WI14,11,8,85.7%,100.0%,5.07,A(4.00),A-(3.91)
"Losh,Elizabeth",CAT124-SixthCollegePracticum(C),WI14,5,4,100.0%,100.0%,8.00,A-(3.75),N/A
"Losh,Elizabeth",CAT125-PublicRhetoric&PractCommun(A),WI14,137,55,81.5%,94.4%,4.39,B+(3.64),B+(3.45)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),WI14,145,64,66.7%,93.0%,4.29,A-(3.71),B+(3.45)
"Smith,AshleyElizabeth",CAT125-PublicRhetoric&PractCommun(C),WI14,91,71,92.8%,97.1%,4.74,A-(3.75),B+(3.65)
"Pressman,JessicaB.","CAT2-Culture,Art&TechnologyII(A)",WI14,183,106,66.0%,88.3%,4.13,B(3.24),B+(3.34)
"Thorpe,CharlesRobert","CAT2-Culture,Art&TechnologyII(B)",WI14,311,174,71.7%,75.9%,5.32,B(3.10),B-(2.88)
"Cruz,EdwinTeddy","CAT2-Culture,Art&TechnologyII(C)",WI14,102,55,54.7%,67.9%,4.58,B+(3.30),B(3.23)
"Doppelt,GeraldD.","CAT2-Culture,Art&TechnologyII(D)",WI14,221,143,88.7%,92.3%,5.99,B(3.18),B-(2.94)
"Algaze,Guillermo","CAT1-Culture,Art&TechnologyI(A)",FA13,323,215,54.0%,50.0%,5.09,B+(3.35),B(3.12)
"Borgo,DavidGarcia","CAT1-Culture,Art&TechnologyI(B)",FA13,192,139,83.1%,93.4%,5.43,B+(3.30),B(3.17)
"Kwak,Nancy","CAT1-Culture,Art&TechnologyI(C)",FA13,150,94,90.6%,96.5%,4.15,B(3.30),B+(3.38)
"Westman,RobertS","CAT1-Culture,Art&TechnologyI(D)",FA13,205,126,55.9%,66.9%,5.52,B+(3.40),B(3.18)
"Losh,Elizabeth",CAT124-SixthCollegePracticum(C),FA13,3,3,100.0%,100.0%,3.83,B+(3.67),N/A
"Sartor,Alexandra",CAT125-PublicRhetoric&PractCommun(A),FA13,137,73,76.1%,91.5%,4.53,B+(3.69),B+(3.51)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(B),FA13,171,76,77.0%,89.2%,3.98,B+(3.48),B+(3.43)
"Bigham,DavidJoseph",CAT125-PublicRhetoric&PractCommun(A),S113,141,41,82.5%,97.5%,6.65,A-(3.71),B+(3.49)
"Losh,Elizabeth",CAT124-SixthCollegePracticum(A),SP13,12,5,100.0%,100.0%,1.30,A-(3.80),N/A
"Yang,K.Wayne",CAT124-SixthCollegePracticum(C),SP13,30,23,100.0%,100.0%,6.59,A-(3.82),A-(3.76)
"Trigilio,Michael",CAT124-SixthCollegePracticum(D),SP13,11,6,100.0%,100.0%,4.50,A(4.00),N/A
"Forbes,DianeA",CAT125-PublicRhetoric&PractCommun(A),SP13,201,92,78.7%,92.1%,3.84,B+(3.62),B+(3.55)
