Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Blakley,Bruce",MGT132-Auditing(A),FA18,58,53,67.9%,67.9%,5.56,B(3.12),B-(2.84)
"Blakley,Bruce",MGT132-Auditing(B),FA18,38,36,83.3%,80.6%,5.28,B(3.18),B-(2.84)
"Pecore,JosephP.",MGT133-AdvancedCostAccounting(A),FA18,30,32,90.6%,93.8%,6.06,B+(3.41),B+(3.39)
"Anderson,JohnCharles",MGT135-FederalTaxation-Companies(A),FA18,67,52,92.3%,88.5%,4.81,B+(3.37),B(3.22)
"Perols,JohanLars",MGT139-AccountingInformationSystems(A),FA18,19,18,100.0%,100.0%,5.72,B+(3.45),N/A
"Perols,JohanLars",MGT153-BusinessAnalytics(A),FA18,68,65,98.5%,100.0%,5.88,A-(3.78),B+(3.45)
"Campbell,RobertHarold",MGT16-PersonalEthicsatWork(A),FA18,119,110,97.3%,96.3%,3.53,A-(3.70),B(3.27)
"Campbell,RobertHarold",MGT16-PersonalEthicsatWork(B),FA18,118,102,97.0%,95.0%,3.56,A-(3.71),B(3.27)
"Lindenberger,WadeDouglas",MGT16-PersonalEthicsatWork(C),FA18,84,80,97.5%,100.0%,3.00,A-(3.77),B+(3.64)
"Buchanan,HaroldG",MGT16-PersonalEthicsatWork(D),FA18,74,76,92.1%,96.1%,2.74,B+(3.52),B+(3.36)
"McKay,MaryA",MGT164-BusinessandOrgLeadership(A),FA18,35,46,95.7%,95.7%,6.20,B(3.16),B-(2.83)
"Zimmermann,Carsten",MGT164-BusinessandOrgLeadership(B),FA18,84,78,98.7%,96.2%,4.45,B+(3.64),B+(3.44)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(A),FA18,58,54,85.2%,77.8%,4.57,B(3.26),B(3.09)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(B),FA18,71,64,89.1%,85.9%,4.72,B+(3.34),B(3.09)
"Moran,CathleenL.",MGT166-CorpSocialResponsibility(C),FA18,58,58,91.4%,84.5%,5.53,B(3.28),B(3.09)
"Shaffer,LisaRobock",MGT166-CorpSocialResponsibility(D),FA18,71,45,91.1%,97.8%,5.83,B+(3.58),B-(2.94)
"Jacob,JoDeeC",MGT167-SocialEntrepreneurship(A),FA18,60,50,91.8%,91.8%,3.50,B+(3.67),B+(3.53)
"Gopal,ChristopherS.",MGT171-OperationsManagement(A),FA18,24,17,88.2%,94.1%,4.85,B(3.12),B+(3.38)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(A),FA18,90,82,89.0%,97.6%,4.38,B+(3.57),B+(3.36)
"Royal,Rebecca",MGT172-BusinessProjectManagement(A),FA18,93,80,90.0%,92.5%,4.43,B+(3.56),B(3.21)
"Hedges,Kathleen",MGT172-BusinessProjectManagement(B),FA18,77,72,95.8%,100.0%,4.05,B+(3.65),B+(3.36)
"Zimmermann,Carsten",MGT172-BusinessProjectManagement(C),FA18,38,39,89.5%,92.1%,3.45,B+(3.55),B+(3.44)
"Hayes,SherryLorine",MGT173-ProjectMgt-HealthServices(A),FA18,75,67,92.5%,97.0%,4.50,B+(3.52),B+(3.30)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(A),FA18,73,70,95.7%,97.1%,4.16,B+(3.32),B(3.19)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(B),FA18,74,69,89.9%,97.1%,3.17,B(3.18),B(3.19)
"McKay,MichaelJ",MGT18-ManagingDiverseTeams(C),FA18,72,70,90.0%,98.6%,3.50,B+(3.40),B(3.19)
"McKay,MaryA",MGT18-ManagingDiverseTeams(D),FA18,68,63,90.5%,98.4%,3.48,B+(3.64),B(3.19)
"McKay,MaryA",MGT18-ManagingDiverseTeams(E),FA18,71,67,92.5%,86.6%,3.25,B(3.24),B(3.19)
"Buchanan,HaroldG",MGT181-EnterpriseFinance(A),FA18,105,97,90.7%,88.7%,5.43,B(3.27),B-(2.78)
"Buchanan,HaroldG",MGT181-EnterpriseFinance(B),FA18,102,99,90.8%,91.8%,5.72,B(3.24),B-(2.78)
"Bliss,BarbaraAnn",MGT181-EnterpriseFinance(C),FA18,26,29,86.2%,93.1%,5.12,B+(3.32),B(3.06)
"Parashar,SatP",MGT184-MoneyandBanking(A),FA18,37,39,92.3%,92.3%,3.18,B+(3.54),A-(3.78)
"Dunn,LouisJean",MGT185-InvestmentBanking(A),FA18,41,20,63.2%,68.4%,8.29,B(3.28),B(3.22)
"Dunn,LouisJean",MGT187-NewVentureFinance(A),FA18,103,71,85.3%,88.2%,4.92,B+(3.46),B(3.03)
