Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Caponigro,Ivano",LIGN101-Introduction/StudyofLanguage(A),WI18,91,51,98.0%,98.0%,4.06,B(3.28),B(3.05)
"Bakovic,EricJohn",LIGN111-PhonologyI(A),WI18,48,41,92.5%,95.0%,7.13,B(3.20),B(3.08)
"Garellek,Marc",LIGN112-SpeechSounds&SpeechDisorders(A),WI18,45,39,100.0%,100.0%,4.29,B+(3.39),B+(3.34)
"MunozSanchez,Alicia",LIGN119-1st&2ndLangLrn:ChildtoAdol(A),WI18,47,30,96.6%,96.6%,3.60,A-(3.71),B+(3.33)
"Biswas,Priyanka",LIGN121-SyntaxI(A),WI18,58,52,80.4%,80.0%,4.58,B+(3.37),B(3.18)
"McIntosh,JustinDaniel",LIGN143-TheStructureofSpanish(A),WI18,31,22,95.2%,95.2%,5.17,A-(3.71),B+(3.51)
"Kehler,AndrewScott",LIGN17-MakingandBreakingCodes(A),WI18,134,74,98.6%,100.0%,2.73,B+(3.41),B(3.06)
"Micklos,AshleyM.",LIGN174-Gender&LanguageinSociety(A),WI18,28,13,100.0%,100.0%,3.33,B+(3.67),B(3.23)
"Kluender,Robert",LIGN181-LangProcessingintheBrain(A),WI18,22,19,84.2%,94.7%,5.97,B(3.00),B(3.10)
"Mayberry,Rachel",LIGN7-SignLanguageanditsCulture(A),WI18,135,123,86.2%,85.4%,3.12,B(3.28),B(3.22)
"Aguilar,AndresEhecatl",LIGN8-Languages&Cultures/America(A),WI18,198,112,83.5%,88.0%,3.08,B+(3.47),B(3.28)
"Alicio,Atilio",LIHL112W-FilipinoforFilipinoSpeakers(A),WI18,16,7,100.0%,100.0%,5.50,B+(3.33),N/A
"Hill,KimloanT.V.",LIHL114W-BeginningVietnameseforVietn(A),WI18,15,6,100.0%,100.0%,3.83,A-(3.75),N/A
"Sadegholvad,Elham",LIHL115W-KoreanforKoreanSpeakers(A),WI18,12,8,100.0%,100.0%,4.10,B+(3.40),N/A
