Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Jones,Makeba","EDS117-Language,Culture&Education(A)",SP17,75,20,89.5%,94.7%,5.13,A-(3.83),A-(3.89)
"Hopkins,MeganBeth","EDS125-Hist,Polic&Theory/BilingualEd(A)",SP17,37,28,100.0%,100.0%,4.50,A-(3.71),A-(3.92)
"Chapman,ThandekaK",EDS126-SocialOrganization/Education(A),SP17,37,15,84.6%,84.6%,3.88,B+(3.69),B+(3.46)
"Pappas,Elizabeth",EDS128B-Intro/Teaching&Learning(Elem)(A),SP17,29,17,100.0%,100.0%,4.85,A-(3.88),A-(3.90)
"Heinzman,EricaM.",EDS129C-Intro/Teach&Learn(Secondary)(A),SP17,50,40,100.0%,97.1%,4.80,A-(3.94),A-(3.92)
"Scharton,SusanMichelle",EDS130-Intro/AcadMent/ElemSchlStdn(A),SP17,48,40,94.9%,97.4%,5.45,A-(3.95),A-(3.75)
"Chung,LuzMarina",EDS136-Intro/AcadTut/SecondSchlStd(A),SP17,57,50,95.9%,100.0%,6.70,A(4.00),A-(3.96)
"Whiteside,LindaSue",EDS137-Intro/Discipl/SpecificTeachng(A),SP17,15,15,100.0%,100.0%,4.77,A-(3.93),N/A
"Jones,Makeba",EDS141-ActionResearchinPreK-12Edu(A),SP17,13,5,100.0%,100.0%,4.50,A(4.00),N/A
"Stevens,LauraJeanne",EDS30-IntroductiontoTeachingMath(A),SP17,5,4,100.0%,100.0%,0.50,A(4.00),N/A
"Bussey,ThomasJ",EDS31-IntroductntoTeachingScience(A),SP17,9,3,100.0%,100.0%,3.83,A(4.00),N/A
"Heinzman,EricaM.",EDS39-Prac/Sci&MathTeching/Learning(A),SP17,28,26,100.0%,100.0%,3.27,A-(3.88),A-(3.80)
"Simon,ElizabethA",EDS87-FreshmanSeminar(A),SP17,15,5,100.0%,100.0%,1.00,N/A,N/A
"Cohen,ShanaR",EDS111-ChildFamilyCommunity(A),WI17,25,15,93.3%,93.3%,5.83,A-(3.92),A-(3.96)
"Chapman,ThandekaK",EDS112-U.S.UrbanEducation(A),WI17,36,17,100.0%,100.0%,3.88,B+(3.64),A-(3.86)
"Simon,ElizabethA",EDS114-CognDevelp&IntractvComptEnv(A),WI17,10,10,100.0%,100.0%,4.10,A-(3.89),N/A
"Orozco,Agustin",EDS116-Psych/Teach&Struc/Information(A),WI17,31,10,100.0%,100.0%,2.25,N/A,N/A
"Jones,Makeba","EDS117-Language,Culture&Education(A)",WI17,66,28,92.9%,96.4%,4.88,A-(3.92),A-(3.96)
"MunozSanchez,Alicia",EDS119-1st&2ndLangLrn:ChildtoAdol(A),WI17,16,6,100.0%,100.0%,3.83,B+(3.67),N/A
"Forbes,CherylA","EDS125-Hist,Polic&Theory/BilingualEd(A)",WI17,38,12,100.0%,100.0%,4.90,A(4.00),A-(3.72)
"Jones,Makeba",EDS126-SocialOrganization/Education(A),WI17,46,19,88.2%,94.1%,3.44,A-(3.88),A-(3.86)
"Bresser,BernardGeorge",EDS128A-Intro/Teaching&Learning(Elem)(A),WI17,31,15,100.0%,100.0%,6.17,A-(3.83),A-(3.82)
"Black,AlisonMichelle",EDS129B-Intro/Teach&Learn(Secondary)(A),WI17,52,41,100.0%,97.6%,5.23,A-(3.93),A-(3.90)
"Holtzman,CarenLynn",EDS130-Intro/AcadMent/ElemSchlStdn(A),WI17,50,27,92.6%,92.6%,6.66,A-(3.91),B+(3.32)
"Chung,LuzMarina",EDS136-Intro/AcadTut/SecondSchlStd(A),WI17,44,39,100.0%,100.0%,6.55,A-(3.79),A-(3.90)
